1,"General Edward Lawrence Logan Intl","Boston","United States","BOS","KBOS","42.364347","-71.005181","19.0","-5.0","A"
2,"Newark Liberty Intl","Newark","United States","EWR","KEWR","40.6925","-74.168667","18.0","-5.0","A"
3,"John F Kennedy Intl","New York","United States","JFK","KJFK","40.639751","-73.778925","13.0","-5.0","A"
4,"City","London","United Kingdom","LCY","EGLC","51.505278","0.055278","19.0","0.0","E"
5,"La Guardia","New York","United States","LGA","KLGA","40.777245","-73.872608","22.0","-5.0","A"
6,"Heathrow","London","United Kingdom","LHR","EGLL","51.4775","-0.461389","83.0","0.0","E"
7,"Luton","London","United Kingdom","LTN","EGGW","51.874722","-0.368333","526.0","0.0","E"
8,"Liverpool","Liverpool","United Kingdom","LPL","EGGP","53.333611","-2.849722","80.0","0.0","E"
9,"Morristown Municipal Airport","Morristown","United States","MMU","KMMU","40.79935","-74.4148747","187.0","-5.0","A"
10,"Stansted","London","United Kingdom","STN","EGSS","51.885","0.235","348.0","0.0","E"
11,"","","","FOR","","3.7736","38.5286","0.0","0.0","U"
